epoch id: 0, acc: 0.10000000149011612	 
epoch id: 1, acc: 0.18000000715255737	 
epoch id: 2, acc: 0.11999999731779099	 
epoch id: 3, acc: 0.11999999731779099	 
epoch id: 4, acc: 0.10000000149011612	 
epoch id: 5, acc: 0.03999999910593033	 
epoch id: 6, acc: 0.18000000715255737	 
epoch id: 7, acc: 0.07999999821186066	 
epoch id: 8, acc: 0.18000000715255737	 
epoch id: 9, acc: 0.05999999865889549	 
epoch id: 10, acc: 0.07999999821186066	 
epoch id: 11, acc: 0.05999999865889549	 
epoch id: 12, acc: 0.07999999821186066	 
epoch id: 13, acc: 0.05999999865889549	 
epoch id: 14, acc: 0.14000000059604645	 
epoch id: 15, acc: 0.05999999865889549	 
epoch id: 16, acc: 0.07999999821186066	 
epoch id: 17, acc: 0.10000000149011612	 
epoch id: 18, acc: 0.11999999731779099	 
epoch id: 19, acc: 0.07999999821186066	 
epoch id: 20, acc: 0.05999999865889549	 
epoch id: 21, acc: 0.11999999731779099	 
epoch id: 22, acc: 0.07999999821186066	 
epoch id: 23, acc: 0.1599999964237213	 
epoch id: 24, acc: 0.20000000298023224	 
epoch id: 25, acc: 0.0	 
epoch id: 26, acc: 0.03999999910593033	 
epoch id: 27, acc: 0.14000000059604645	 
epoch id: 28, acc: 0.10000000149011612	 
epoch id: 29, acc: 0.05999999865889549	 
epoch id: 30, acc: 0.03999999910593033	 
epoch id: 31, acc: 0.14000000059604645	 
epoch id: 32, acc: 0.10000000149011612	 
epoch id: 33, acc: 0.18000000715255737	 
epoch id: 34, acc: 0.20000000298023224	 
epoch id: 35, acc: 0.07999999821186066	 
epoch id: 36, acc: 0.25999999046325684	 
epoch id: 37, acc: 0.2199999988079071	 
epoch id: 38, acc: 0.1599999964237213	 
epoch id: 39, acc: 0.1599999964237213	 
epoch id: 40, acc: 0.11999999731779099	 
epoch id: 41, acc: 0.10000000149011612	 
epoch id: 42, acc: 0.2199999988079071	 
epoch id: 43, acc: 0.18000000715255737	 
epoch id: 44, acc: 0.07999999821186066	 
epoch id: 45, acc: 0.07999999821186066	 
epoch id: 46, acc: 0.11999999731779099	 
epoch id: 47, acc: 0.07999999821186066	 
epoch id: 48, acc: 0.05999999865889549	 
epoch id: 49, acc: 0.07999999821186066	 
